image_id,class_folder,class_id_raw,image_file,file_ext,image_count_in_class,warning_light_id,label,label_confidence,mapping_status,image_url_or_blob_path,note,source_type,source_url
IMG0001,WL001_Fog_light_front,standard64_chart_1,data/images/WL001_Fog_light_front/standard64_crop_WL001.png,png,6,WL001,Fog light (front),reference_chart_numbered_crop,MAPPED_TO_STANDARD_64_WARNING_LIGHT,data/images/WL001_Fog_light_front/standard64_crop_WL001.png,Cropped from the 64-dashboard-indicator reference chart so every standard class has at least one image; verify image rights before public release.,reference_64_dashboard_chart_crop,https://www.indicatorlight.com/wp-content/uploads/2020/10/%E5%9B%BE%E7%89%871.png
IMG0002,WL001_Fog_light_front,zip_class_1,data/images/WL001_Fog_light_front/uploaded_zip_1_1_1.png,png,6,WL001,Fog light (front),high_class_number_from_uploaded_dataset,MAPPED_TO_STANDARD_64_WARNING_LIGHT,data/images/WL001_Fog_light_front/uploaded_zip_1_1_1.png,Extracted from user-provided dataset.zip and mapped by class number to the 64-warning-light guide.,uploaded_dataset_zip,local:user_provided_warning_light_image_dataset.zip
IMG0003,WL001_Fog_light_front,zip_class_1,data/images/WL001_Fog_light_front/uploaded_zip_1_1_2.png,png,6,WL001,Fog light (front),high_class_number_from_uploaded_dataset,MAPPED_TO_STANDARD_64_WARNING_LIGHT,data/images/WL001_Fog_light_front/uploaded_zip_1_1_2.png,Extracted from user-provided dataset.zip and mapped by class number to the 64-warning-light guide.,uploaded_dataset_zip,local:user_provided_warning_light_image_dataset.zip
IMG0004,WL001_Fog_light_front,zip_class_1,data/images/WL001_Fog_light_front/uploaded_zip_1_1_3.png,png,6,WL001,Fog light (front),high_class_number_from_uploaded_dataset,MAPPED_TO_STANDARD_64_WARNING_LIGHT,data/images/WL001_Fog_light_front/uploaded_zip_1_1_3.png,Extracted from user-provided dataset.zip and mapped by class number to the 64-warning-light guide.,uploaded_dataset_zip,local:user_provided_warning_light_image_dataset.zip
IMG0005,WL001_Fog_light_front,zip_class_1,data/images/WL001_Fog_light_front/uploaded_zip_1_1_4.png,png,6,WL001,Fog light (front),high_class_number_from_uploaded_dataset,MAPPED_TO_STANDARD_64_WARNING_LIGHT,data/images/WL001_Fog_light_front/uploaded_zip_1_1_4.png,Extracted from user-provided dataset.zip and mapped by class number to the 64-warning-light guide.,uploaded_dataset_zip,local:user_provided_warning_light_image_dataset.zip
IMG0006,WL001_Fog_light_front,zip_class_1,data/images/WL001_Fog_light_front/uploaded_zip_1_1_5.png,png,6,WL001,Fog light (front),high_class_number_from_uploaded_dataset,MAPPED_TO_STANDARD_64_WARNING_LIGHT,data/images/WL001_Fog_light_front/uploaded_zip_1_1_5.png,Extracted from user-provided dataset.zip and mapped by class number to the 64-warning-light guide.,uploaded_dataset_zip,local:user_provided_warning_light_image_dataset.zip
IMG0007,WL002_Power_steering_warning_light,hyundai:3-mdps-blue.svg,data/images/WL002_Power_steering_warning_light/hyundai_3-mdps-blue.svg,svg,9,WL002,Power steering warning light,high_official_icon_filename_mapping,MAPPED_TO_STANDARD_64_WARNING_LIGHT,data/images/WL002_Power_steering_warning_light/hyundai_3-mdps-blue.svg,Hyundai official SVG mapped by filename to the closest 64-standard class.,official_hyundai_warning_light_icon,https://service.hyundaiusa.com/en/warning-lights.html
IMG0008,WL002_Power_steering_warning_light,hyundai:icon-mdps-blurb.svg,data/images/WL002_Power_steering_warning_light/hyundai_icon-mdps-blurb.svg,svg,9,WL002,Power steering warning light,high_official_icon_filename_mapping,MAPPED_TO_STANDARD_64_WARNING_LIGHT,data/images/WL002_Power_steering_warning_light/hyundai_icon-mdps-blurb.svg,Hyundai official SVG mapped by filename to the closest 64-standard class.,official_hyundai_warning_light_icon,https://service.hyundaiusa.com/en/warning-lights.html
IMG0009,WL002_Power_steering_warning_light,hyundai:mdps.svg,data/images/WL002_Power_steering_warning_light/hyundai_mdps.svg,svg,9,WL002,Power steering warning light,high_official_icon_filename_mapping,MAPPED_TO_STANDARD_64_WARNING_LIGHT,data/images/WL002_Power_steering_warning_light/hyundai_mdps.svg,Hyundai official SVG mapped by filename to the closest 64-standard class.,official_hyundai_warning_light_icon,https://service.hyundaiusa.com/en/warning-lights.html
IMG0010,WL002_Power_steering_warning_light,standard64_chart_2,data/images/WL002_Power_steering_warning_light/standard64_crop_WL002.png,png,9,WL002,Power steering warning light,reference_chart_numbered_crop,MAPPED_TO_STANDARD_64_WARNING_LIGHT,data/images/WL002_Power_steering_warning_light/standard64_crop_WL002.png,Cropped from the 64-dashboard-indicator reference chart so every standard class has at least one image; verify image rights before public release.,reference_64_dashboard_chart_crop,https://www.indicatorlight.com/wp-content/uploads/2020/10/%E5%9B%BE%E7%89%871.png
IMG0011,WL002_Power_steering_warning_light,zip_class_2,data/images/WL002_Power_steering_warning_light/uploaded_zip_2_2_1.png,png,9,WL002,Power steering warning light,high_class_number_from_uploaded_dataset,MAPPED_TO_STANDARD_64_WARNING_LIGHT,data/images/WL002_Power_steering_warning_light/uploaded_zip_2_2_1.png,Extracted from user-provided dataset.zip and mapped by class number to the 64-warning-light guide.,uploaded_dataset_zip,local:user_provided_warning_light_image_dataset.zip
IMG0012,WL002_Power_steering_warning_light,zip_class_2,data/images/WL002_Power_steering_warning_light/uploaded_zip_2_2_2.jpg,jpg,9,WL002,Power steering warning light,high_class_number_from_uploaded_dataset,MAPPED_TO_STANDARD_64_WARNING_LIGHT,data/images/WL002_Power_steering_warning_light/uploaded_zip_2_2_2.jpg,Extracted from user-provided dataset.zip and mapped by class number to the 64-warning-light guide.,uploaded_dataset_zip,local:user_provided_warning_light_image_dataset.zip
IMG0013,WL002_Power_steering_warning_light,zip_class_2,data/images/WL002_Power_steering_warning_light/uploaded_zip_2_2_3.png,png,9,WL002,Power steering warning light,high_class_number_from_uploaded_dataset,MAPPED_TO_STANDARD_64_WARNING_LIGHT,data/images/WL002_Power_steering_warning_light/uploaded_zip_2_2_3.png,Extracted from user-provided dataset.zip and mapped by class number to the 64-warning-light guide.,uploaded_dataset_zip,local:user_provided_warning_light_image_dataset.zip
