"search_key","document_id","source_type","source_id","warning_light_id","warning_light_name","make","model","model_year","component_category","severity","recommended_service_type","content","source_url","image_path","review_status"
warning_light-WL001,warning_light:WL001,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL001,WL001,Fog light (front),,,,EXTERIOR_LIGHTING,INFORMATIONAL,EXTERIOR_LIGHTING_CHECK_OR_REPAIR,"Warning light WL001: Fog light (front). Symbol label: front fog lamp. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: exterior_lighting. Meaning: This dashboard symbol indicates fog light (front) or a related status/fault in the exterior lighting system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to exterior lighting. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: exterior_lighting_check_or_repair.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
warning_light-WL002,warning_light:WL002,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL002,WL002,Power steering warning light,,,,STEERING,URGENT_SERVICE,STEERING_SYSTEM_DIAGNOSTIC,"Warning light WL002: Power steering warning light. Symbol label: steering wheel with exclamation. Color: red/amber. Severity: urgent_service. Stop immediately: Stop if braking, steering, drivability, or vehicle control feels unsafe; otherwise schedule prompt service.. Component category: exterior_lighting. Meaning: This dashboard symbol indicates power steering warning light or a related status/fault in the exterior lighting system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to exterior lighting. Immediate action: Drive cautiously if controllable, read any dashboard message, and schedule the recommended diagnostic or maintenance action. Recommended service type: exterior_lighting_check_or_repair.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
warning_light-WL003,warning_light:WL003,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL003,WL003,Fog light (rear),,,,EXTERIOR_LIGHTING,INFORMATIONAL,EXTERIOR_LIGHTING_CHECK_OR_REPAIR,"Warning light WL003: Fog light (rear). Symbol label: rear fog lamp. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: exterior_lighting. Meaning: This dashboard symbol indicates fog light (rear) or a related status/fault in the exterior lighting system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to exterior lighting. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: exterior_lighting_check_or_repair.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
warning_light-WL004,warning_light:WL004,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL004,WL004,Washer fluid low,,,,VISIBILITY_WIPERS,INFORMATIONAL,WASHER_FLUID_REFILL_OR_LEAK_CHECK,"Warning light WL004: Washer fluid low. Symbol label: windshield washer fluid. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: visibility_wipers. Meaning: This dashboard symbol indicates washer fluid low or a related status/fault in the visibility wipers system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to visibility wipers. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: washer_fluid_refill_or_leak_check.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
warning_light-WL005,warning_light:WL005,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL005,WL005,Brake pad warning,,,,BRAKE_SYSTEM,SERVICE_SOON,BRAKE_PAD_AND_ROTOR_SERVICE,"Warning light WL005: Brake pad warning. Symbol label: brake pad wear. Color: amber/yellow. Severity: service_soon. Stop immediately: No, unless paired with a red warning, unsafe behavior, smoke, overheating, or fuel smell.. Component category: brake_system. Meaning: This dashboard symbol indicates brake pad warning or a related status/fault in the brake system system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to brake system. Immediate action: Drive cautiously if controllable, read any dashboard message, and schedule the recommended diagnostic or maintenance action. Recommended service type: brake_pad_and_rotor_service.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
warning_light-WL006,warning_light:WL006,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL006,WL006,Cruise control on,,,,CRUISE_SPEED_CONTROL,INFORMATIONAL,CRUISE_SPEED_CONTROL_CHECK,"Warning light WL006: Cruise control on. Symbol label: cruise control speedometer. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: cruise_speed_control. Meaning: This dashboard symbol indicates cruise control on or a related status/fault in the cruise speed control system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to cruise speed control. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: cruise_speed_control_check.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
warning_light-WL007,warning_light:WL007,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL007,WL007,Direction indicators,,,,EXTERIOR_LIGHTING,INFORMATIONAL,TURN_SIGNAL_LIGHTING_CHECK,"Warning light WL007: Direction indicators. Symbol label: left and right turn arrows. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: exterior_lighting. Meaning: This dashboard symbol indicates direction indicators or a related status/fault in the exterior lighting system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to exterior lighting. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: turn_signal_lighting_check.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
warning_light-WL008,warning_light:WL008,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL008,WL008,Rain and light sensors,,,,EXTERIOR_LIGHTING,INFORMATIONAL,EXTERIOR_LIGHTING_CHECK_OR_REPAIR,"Warning light WL008: Rain and light sensors. Symbol label: headlamp with sensor. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: exterior_lighting. Meaning: This dashboard symbol indicates rain and light sensors or a related status/fault in the exterior lighting system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to exterior lighting. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: exterior_lighting_check_or_repair.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
warning_light-WL009,warning_light:WL009,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL009,WL009,Winter mode,,,,ROAD_CONDITION_ADVISORY,INFORMATIONAL,DRIVER_INFORMATION_NO_SERVICE,"Warning light WL009: Winter mode. Symbol label: snowflake. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: road_condition_advisory. Meaning: This dashboard symbol indicates winter mode or a related status/fault in the road condition advisory system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to road condition advisory. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: driver_information_no_service.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
warning_light-WL010,warning_light:WL010,STANDARD_64_WARNING_LIGHT_GUIDE_PLUS_OEM_REFERENCE,WL010,WL010,Information indicators,,,,MULTI_SYSTEM,INFORMATIONAL,MULTI_POINT_WARNING_DIAGNOSTIC,"Warning light WL010: Information indicators. Symbol label: information symbol. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: multi_system. Meaning: This dashboard symbol indicates information indicators or a related status/fault in the multi system system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to multi system. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: multi_point_warning_diagnostic.",https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,,"SOURCE_REVIEWED_GENERIC_GUIDANCE_MODEL_SPECIFIC_MANUAL_RECOMMENDED"
