warning_light_id,warning_light_name,symbol_label,color,severity,stop_immediately,component_category,description,possible_causes,immediate_action,recommended_service_type,rag_ready_content,source_type,source_url,review_status
WL001,Fog light (front),front fog lamp,green/blue/amber,informational,No.,exterior_lighting,"This dashboard symbol indicates fog light (front) or a related status/fault in the exterior lighting system. Color, flashing behavior, and cluster message determine urgency.",Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to exterior lighting.,Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal.,exterior_lighting_check_or_repair,"Warning light WL001: Fog light (front). Symbol label: front fog lamp. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: exterior_lighting. Meaning: This dashboard symbol indicates fog light (front) or a related status/fault in the exterior lighting system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to exterior lighting. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: exterior_lighting_check_or_repair.",standard_64_warning_light_guide_plus_oem_reference,https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,source_reviewed_generic_guidance_model_specific_manual_recommended
WL002,Power steering warning light,steering wheel with exclamation,red/amber,urgent_service,"Stop if braking, steering, drivability, or vehicle control feels unsafe; otherwise schedule prompt service.",steering,"This dashboard symbol indicates a power steering assist warning or a related status/fault in the steering system. Color, flashing behavior, steering feel, and cluster message determine urgency.",Low power steering fluid where applicable; electric power steering motor or control-module fault; steering angle sensor fault; wiring fault; or system-specific steering assist malfunction.,"Drive cautiously if controllable, read any dashboard message, and schedule the recommended diagnostic or maintenance action.",steering_system_diagnostic,"Warning light WL002: Power steering warning light. Symbol label: steering wheel with exclamation. Color: red/amber. Severity: urgent_service. Stop immediately: Stop if braking, steering, drivability, or vehicle control feels unsafe; otherwise schedule prompt service. Component category: steering. Meaning: This dashboard symbol indicates a power steering assist warning or a related status/fault in the steering system. Color, flashing behavior, steering feel, and cluster message determine urgency. Possible causes: Low power steering fluid where applicable; electric power steering motor or control-module fault; steering angle sensor fault; wiring fault; or system-specific steering assist malfunction. Immediate action: Drive cautiously if controllable, read any dashboard message, and schedule the recommended diagnostic or maintenance action. Recommended service type: steering_system_diagnostic.",standard_64_warning_light_guide_plus_oem_reference,https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,source_reviewed_generic_guidance_model_specific_manual_recommended
WL003,Fog light (rear),rear fog lamp,green/blue/amber,informational,No.,exterior_lighting,"This dashboard symbol indicates fog light (rear) or a related status/fault in the exterior lighting system. Color, flashing behavior, and cluster message determine urgency.",Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to exterior lighting.,Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal.,exterior_lighting_check_or_repair,"Warning light WL003: Fog light (rear). Symbol label: rear fog lamp. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: exterior_lighting. Meaning: This dashboard symbol indicates fog light (rear) or a related status/fault in the exterior lighting system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to exterior lighting. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: exterior_lighting_check_or_repair.",standard_64_warning_light_guide_plus_oem_reference,https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,source_reviewed_generic_guidance_model_specific_manual_recommended
WL004,Washer fluid low,windshield washer fluid,green/blue/amber,informational,No.,visibility_wipers,"This dashboard symbol indicates washer fluid low or a related status/fault in the visibility wipers system. Color, flashing behavior, and cluster message determine urgency.",Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to visibility wipers.,Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal.,washer_fluid_refill_or_leak_check,"Warning light WL004: Washer fluid low. Symbol label: windshield washer fluid. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: visibility_wipers. Meaning: This dashboard symbol indicates washer fluid low or a related status/fault in the visibility wipers system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to visibility wipers. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: washer_fluid_refill_or_leak_check.",standard_64_warning_light_guide_plus_oem_reference,https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,source_reviewed_generic_guidance_model_specific_manual_recommended
WL005,Brake pad warning,brake pad wear,amber/yellow,service_soon,"No, unless paired with a red warning, unsafe behavior, smoke, overheating, or fuel smell.",brake_system,"This dashboard symbol indicates brake pad warning or a related status/fault in the brake system system. Color, flashing behavior, and cluster message determine urgency.",Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to brake system.,"Drive cautiously if controllable, read any dashboard message, and schedule the recommended diagnostic or maintenance action.",brake_pad_and_rotor_service,"Warning light WL005: Brake pad warning. Symbol label: brake pad wear. Color: amber/yellow. Severity: service_soon. Stop immediately: No, unless paired with a red warning, unsafe behavior, smoke, overheating, or fuel smell.. Component category: brake_system. Meaning: This dashboard symbol indicates brake pad warning or a related status/fault in the brake system system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to brake system. Immediate action: Drive cautiously if controllable, read any dashboard message, and schedule the recommended diagnostic or maintenance action. Recommended service type: brake_pad_and_rotor_service.",standard_64_warning_light_guide_plus_oem_reference,https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,source_reviewed_generic_guidance_model_specific_manual_recommended
WL006,Cruise control on,cruise control speedometer,green/blue/amber,informational,No.,cruise_speed_control,"This dashboard symbol indicates cruise control on or a related status/fault in the cruise speed control system. Color, flashing behavior, and cluster message determine urgency.",Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to cruise speed control.,Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal.,cruise_speed_control_check,"Warning light WL006: Cruise control on. Symbol label: cruise control speedometer. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: cruise_speed_control. Meaning: This dashboard symbol indicates cruise control on or a related status/fault in the cruise speed control system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to cruise speed control. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: cruise_speed_control_check.",standard_64_warning_light_guide_plus_oem_reference,https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,source_reviewed_generic_guidance_model_specific_manual_recommended
WL007,Direction indicators,left and right turn arrows,green/blue/amber,informational,No.,exterior_lighting,"This dashboard symbol indicates direction indicators or a related status/fault in the exterior lighting system. Color, flashing behavior, and cluster message determine urgency.",Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to exterior lighting.,Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal.,turn_signal_lighting_check,"Warning light WL007: Direction indicators. Symbol label: left and right turn arrows. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: exterior_lighting. Meaning: This dashboard symbol indicates direction indicators or a related status/fault in the exterior lighting system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to exterior lighting. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: turn_signal_lighting_check.",standard_64_warning_light_guide_plus_oem_reference,https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,source_reviewed_generic_guidance_model_specific_manual_recommended
WL008,Rain and light sensors,headlamp with sensor,green/blue/amber,informational,No.,exterior_lighting,"This dashboard symbol indicates rain and light sensors or a related status/fault in the exterior lighting system. Color, flashing behavior, and cluster message determine urgency.",Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to exterior lighting.,Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal.,exterior_lighting_check_or_repair,"Warning light WL008: Rain and light sensors. Symbol label: headlamp with sensor. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: exterior_lighting. Meaning: This dashboard symbol indicates rain and light sensors or a related status/fault in the exterior lighting system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to exterior lighting. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: exterior_lighting_check_or_repair.",standard_64_warning_light_guide_plus_oem_reference,https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,source_reviewed_generic_guidance_model_specific_manual_recommended
WL009,Winter mode,snowflake,green/blue/amber,informational,No.,road_condition_advisory,"This dashboard symbol indicates winter mode or a related status/fault in the road condition advisory system. Color, flashing behavior, and cluster message determine urgency.",Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to road condition advisory.,Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal.,driver_information_no_service,"Warning light WL009: Winter mode. Symbol label: snowflake. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: road_condition_advisory. Meaning: This dashboard symbol indicates winter mode or a related status/fault in the road condition advisory system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to road condition advisory. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: driver_information_no_service.",standard_64_warning_light_guide_plus_oem_reference,https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,source_reviewed_generic_guidance_model_specific_manual_recommended
WL010,Information indicators,information symbol,green/blue/amber,informational,No.,multi_system,"This dashboard symbol indicates information indicators or a related status/fault in the multi system system. Color, flashing behavior, and cluster message determine urgency.",Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to multi system.,Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal.,multi_point_warning_diagnostic,"Warning light WL010: Information indicators. Symbol label: information symbol. Color: green/blue/amber. Severity: informational. Stop immediately: No.. Component category: multi_system. Meaning: This dashboard symbol indicates information indicators or a related status/fault in the multi system system. Color, flashing behavior, and cluster message determine urgency. Possible causes: Normal status indication; low fluid or pressure; worn component; blocked sensor; wiring fault; or system-specific control-module fault related to multi system. Immediate action: Confirm the indicator matches the intended vehicle status; service is needed only if the behavior is abnormal. Recommended service type: multi_point_warning_diagnostic.",standard_64_warning_light_guide_plus_oem_reference,https://www.indicatorlight.com/dashboard-indicator-light/; https://article.nadiapub.com/IJCA/vol11_no1/13.pdf; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/,source_reviewed_generic_guidance_model_specific_manual_recommended
