service_type_id,recommended_service_type,component_category,urgency_level,typical_customer_message,typical_action,business_user,expected_value,evidence_level_required,rag_ready_content,source_type,source_url,review_status
SV001,abs_brake_diagnostic,brake_abs_system,urgent_or_immediate_stop,Driver reports one of these symbols: WL049 ABS warning.,"Route the case to abs brake diagnostic; verify dashboard color/message, vehicle symptoms, owner manual, and recall matches before final recommendation.",used-car_platform; repair_network; fleet_operator; insurance_roadside_assistance,"Standardizes warning-light triage, recall evidence lookup, and service prioritization for Power BI and RAG outputs.",warning_light_catalog_plus_vehicle_context_plus_recall_match_when_available,"Maintenance service map: abs_brake_diagnostic. Categories: brake_abs_system. Urgency: urgent_or_immediate_stop. Related warning lights: WL049 ABS warning. Action: Route the case to abs brake diagnostic; verify dashboard color/message, vehicle symptoms, owner manual, and recall matches before final recommendation.",team_structured_service_map_from_standard_64_warning_catalog,https://www.indicatorlight.com/dashboard-indicator-light/; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/; https://www.nhtsa.gov/recalls,team_review_required_before_production
SV002,adas_camera_radar_diagnostic,adas_driver_assistance,service_soon,Driver reports one of these symbols: WL016 Distance warning; WL028 Lane departure warning.,"Route the case to adas camera radar diagnostic; verify dashboard color/message, vehicle symptoms, owner manual, and recall matches before final recommendation.",used-car_platform; repair_network; fleet_operator; insurance_roadside_assistance,"Standardizes warning-light triage, recall evidence lookup, and service prioritization for Power BI and RAG outputs.",warning_light_catalog_plus_vehicle_context_plus_recall_match_when_available,"Maintenance service map: adas_camera_radar_diagnostic. Categories: adas_driver_assistance. Urgency: service_soon. Related warning lights: WL016 Distance warning; WL028 Lane departure warning. Action: Route the case to adas camera radar diagnostic; verify dashboard color/message, vehicle symptoms, owner manual, and recall matches before final recommendation.",team_structured_service_map_from_standard_64_warning_catalog,https://www.indicatorlight.com/dashboard-indicator-light/; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/; https://www.nhtsa.gov/recalls,team_review_required_before_production
SV003,airbag_srs_diagnostic,airbag_srs,urgent_or_immediate_stop,Driver reports one of these symbols: WL039 Airbag warning; WL042 Airbags deactivated.,"Route the case to airbag srs diagnostic; verify dashboard color/message, vehicle symptoms, owner manual, and recall matches before final recommendation.",used-car_platform; repair_network; fleet_operator; insurance_roadside_assistance,"Standardizes warning-light triage, recall evidence lookup, and service prioritization for Power BI and RAG outputs.",warning_light_catalog_plus_vehicle_context_plus_recall_match_when_available,"Maintenance service map: airbag_srs_diagnostic. Categories: airbag_srs. Urgency: urgent_or_immediate_stop. Related warning lights: WL039 Airbag warning; WL042 Airbags deactivated. Action: Route the case to airbag srs diagnostic; verify dashboard color/message, vehicle symptoms, owner manual, and recall matches before final recommendation.",team_structured_service_map_from_standard_64_warning_catalog,https://www.indicatorlight.com/dashboard-indicator-light/; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/; https://www.nhtsa.gov/recalls,team_review_required_before_production
SV004,battery_charging_system_test,electrical_charging,urgent_or_immediate_stop,Driver reports one of these symbols: WL032 Battery/alternator warning.,"Route the case to battery charging system test; verify dashboard color/message, vehicle symptoms, owner manual, and recall matches before final recommendation.",used-car_platform; repair_network; fleet_operator; insurance_roadside_assistance,"Standardizes warning-light triage, recall evidence lookup, and service prioritization for Power BI and RAG outputs.",warning_light_catalog_plus_vehicle_context_plus_recall_match_when_available,"Maintenance service map: battery_charging_system_test. Categories: electrical_charging. Urgency: urgent_or_immediate_stop. Related warning lights: WL032 Battery/alternator warning. Action: Route the case to battery charging system test; verify dashboard color/message, vehicle symptoms, owner manual, and recall matches before final recommendation.",team_structured_service_map_from_standard_64_warning_catalog,https://www.indicatorlight.com/dashboard-indicator-light/; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/; https://www.nhtsa.gov/recalls,team_review_required_before_production
SV005,body_roof_spoiler_inspection,body_roof_spoiler,service_soon,Driver reports one of these symbols: WL037 Rear spoiler warning; WL038 Convertible roof warning.,"Route the case to body roof spoiler inspection; verify dashboard color/message, vehicle symptoms, owner manual, and recall matches before final recommendation.",used-car_platform; repair_network; fleet_operator; insurance_roadside_assistance,"Standardizes warning-light triage, recall evidence lookup, and service prioritization for Power BI and RAG outputs.",warning_light_catalog_plus_vehicle_context_plus_recall_match_when_available,"Maintenance service map: body_roof_spoiler_inspection. Categories: body_roof_spoiler. Urgency: service_soon. Related warning lights: WL037 Rear spoiler warning; WL038 Convertible roof warning. Action: Route the case to body roof spoiler inspection; verify dashboard color/message, vehicle symptoms, owner manual, and recall matches before final recommendation.",team_structured_service_map_from_standard_64_warning_catalog,https://www.indicatorlight.com/dashboard-indicator-light/; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/; https://www.nhtsa.gov/recalls,team_review_required_before_production
SV006,brake_pad_and_rotor_service,brake_system,service_soon,Driver reports one of these symbols: WL005 Brake pad warning.,"Route the case to brake pad and rotor service; verify dashboard color/message, vehicle symptoms, owner manual, and recall matches before final recommendation.",used-car_platform; repair_network; fleet_operator; insurance_roadside_assistance,"Standardizes warning-light triage, recall evidence lookup, and service prioritization for Power BI and RAG outputs.",warning_light_catalog_plus_vehicle_context_plus_recall_match_when_available,"Maintenance service map: brake_pad_and_rotor_service. Categories: brake_system. Urgency: service_soon. Related warning lights: WL005 Brake pad warning. Action: Route the case to brake pad and rotor service; verify dashboard color/message, vehicle symptoms, owner manual, and recall matches before final recommendation.",team_structured_service_map_from_standard_64_warning_catalog,https://www.indicatorlight.com/dashboard-indicator-light/; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/; https://www.nhtsa.gov/recalls,team_review_required_before_production
SV007,brake_system_inspection,brake_system,urgent_or_immediate_stop,Driver reports one of these symbols: WL040 Handbrakes warning.,"Route the case to brake system inspection; verify dashboard color/message, vehicle symptoms, owner manual, and recall matches before final recommendation.",used-car_platform; repair_network; fleet_operator; insurance_roadside_assistance,"Standardizes warning-light triage, recall evidence lookup, and service prioritization for Power BI and RAG outputs.",warning_light_catalog_plus_vehicle_context_plus_recall_match_when_available,"Maintenance service map: brake_system_inspection. Categories: brake_system. Urgency: urgent_or_immediate_stop. Related warning lights: WL040 Handbrakes warning. Action: Route the case to brake system inspection; verify dashboard color/message, vehicle symptoms, owner manual, and recall matches before final recommendation.",team_structured_service_map_from_standard_64_warning_catalog,https://www.indicatorlight.com/dashboard-indicator-light/; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/; https://www.nhtsa.gov/recalls,team_review_required_before_production
SV008,cooling_system_inspection,engine_cooling,urgent_or_immediate_stop,Driver reports one of these symbols: WL048 Temperature warning.,"Route the case to cooling system inspection; verify dashboard color/message, vehicle symptoms, owner manual, and recall matches before final recommendation.",used-car_platform; repair_network; fleet_operator; insurance_roadside_assistance,"Standardizes warning-light triage, recall evidence lookup, and service prioritization for Power BI and RAG outputs.",warning_light_catalog_plus_vehicle_context_plus_recall_match_when_available,"Maintenance service map: cooling_system_inspection. Categories: engine_cooling. Urgency: urgent_or_immediate_stop. Related warning lights: WL048 Temperature warning. Action: Route the case to cooling system inspection; verify dashboard color/message, vehicle symptoms, owner manual, and recall matches before final recommendation.",team_structured_service_map_from_standard_64_warning_catalog,https://www.indicatorlight.com/dashboard-indicator-light/; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/; https://www.nhtsa.gov/recalls,team_review_required_before_production
SV009,cruise_speed_control_check,cruise_speed_control,informational,Driver reports one of these symbols: WL006 Cruise control on; WL055 Speed limiters.,"Route the case to cruise speed control check; verify dashboard color/message, vehicle symptoms, owner manual, and recall matches before final recommendation.",used-car_platform; repair_network; fleet_operator; insurance_roadside_assistance,"Standardizes warning-light triage, recall evidence lookup, and service prioritization for Power BI and RAG outputs.",warning_light_catalog_plus_vehicle_context_plus_recall_match_when_available,"Maintenance service map: cruise_speed_control_check. Categories: cruise_speed_control. Urgency: informational. Related warning lights: WL006 Cruise control on; WL055 Speed limiters. Action: Route the case to cruise speed control check; verify dashboard color/message, vehicle symptoms, owner manual, and recall matches before final recommendation.",team_structured_service_map_from_standard_64_warning_catalog,https://www.indicatorlight.com/dashboard-indicator-light/; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/; https://www.nhtsa.gov/recalls,team_review_required_before_production
SV010,diesel_starting_system_diagnostic,diesel_engine_starting,informational,Driver reports one of these symbols: WL011 Glow plug/diesel pre-heat warning.,"Route the case to diesel starting system diagnostic; verify dashboard color/message, vehicle symptoms, owner manual, and recall matches before final recommendation.",used-car_platform; repair_network; fleet_operator; insurance_roadside_assistance,"Standardizes warning-light triage, recall evidence lookup, and service prioritization for Power BI and RAG outputs.",warning_light_catalog_plus_vehicle_context_plus_recall_match_when_available,"Maintenance service map: diesel_starting_system_diagnostic. Categories: diesel_engine_starting. Urgency: informational. Related warning lights: WL011 Glow plug/diesel pre-heat warning. Action: Route the case to diesel starting system diagnostic; verify dashboard color/message, vehicle symptoms, owner manual, and recall matches before final recommendation.",team_structured_service_map_from_standard_64_warning_catalog,https://www.indicatorlight.com/dashboard-indicator-light/; https://service.hyundaiusa.com/en/warning-lights.html; https://www.toyota.com/owners/warning-lights/; https://www.nhtsa.gov/recalls,team_review_required_before_production
